Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,5/6/2016,447.58599,447.73999,449.468,445.826
BTC,5/9/2016,458.708,459.937,460.48,456.154
BTC,5/10/2016,460.954,458.708,464.21,457.138
BTC,5/11/2016,454.39399,460.954,461.213,447.75699
BTC,5/12/2016,451.155,454.39399,454.938,450.832
BTC,5/13/2016,453.701,451.155,455.12299,447.731
BTC,5/16/2016,457.64099,456.093,458.87299,455.325
BTC,5/17/2016,454.278,457.64099,457.927,451.33
BTC,5/18/2016,454.064,454.278,454.812,452.3
BTC,5/19/2016,453.494,454.064,455.734,453.243
BTC,5/20/2016,440.231,453.494,454.078,435.616
BTC,5/23/2016,440.551,442.892,443.15,437.996
BTC,5/24/2016,444.489,440.551,444.756,440.551
BTC,5/25/2016,447.035,444.489,447.07,443.761
BTC,5/26/2016,448.278,447.035,449.979,446.784
BTC,5/27/2016,467.262,448.278,472.481,448.076
BTC,5/30/2016,529.917,516.051,545.764,508.12299
BTC,5/31/2016,537.23299,529.917,541.783,525.332
BTC,6/1/2016,528.04999,537.23299,546.85299,519.93
BTC,6/2/2016,538.568,528.04999,543.62799,527.587
BTC,6/3/2016,537.185,538.568,541.056,532.68599
BTC,6/6/2016,578.84899,579.343,582.309,568.327
BTC,6/7/2016,585.399,578.84899,590.98299,578.555
BTC,6/8/2016,576.226,585.399,588.682,565.165
BTC,6/9/2016,580.43599,576.226,583.989,573.546
BTC,6/10/2016,574.953,580.43599,581.56899,572.042
BTC,6/13/2016,682.226,633.205,685.275,628.08999
BTC,6/14/2016,695.155,682.226,719.847,673.396
BTC,6/15/2016,685.442,695.155,695.763,661.601
BTC,6/16/2016,732.357,685.442,732.692,673.249
BTC,6/17/2016,773.25,732.357,776.642,725.895
BTC,6/20/2016,758.903,747.831,765.929,742.566
BTC,6/21/2016,702.696,758.903,763.019,683.746
BTC,6/22/2016,657.013,702.696,713.289,631.72399
BTC,6/23/2016,581.249,657.013,677.105,551.91599
BTC,6/24/2016,657.08999,581.249,658.43999,560.331
BTC,6/27/2016,644.091,657.22399,659.692,615.775
BTC,6/28/2016,655.94399,644.091,661.35299,626.16099
BTC,6/29/2016,634.357,655.94399,656.006,624.768
BTC,6/30/2016,635.093,634.357,642.485,627.687
BTC,7/1/2016,683.293,635.093,684.652,634.987
BTC,7/4/2016,670.741,690.179,694.597,646.745
BTC,7/5/2016,679.351,670.741,682.394,667.5
BTC,7/6/2016,676.872,679.351,679.466,662.218
BTC,7/7/2016,671.814,676.872,680.231,666.93
BTC,7/8/2016,640.476,671.814,672.906,611.258
BTC,7/11/2016,656.747,649.356,660.439,639.618
BTC,7/12/2016,648.136,656.747,658.50699,644.754
BTC,7/13/2016,663.443,648.136,675.067,646.54
BTC,7/14/2016,654.018,663.443,668.759,651.567
BTC,7/15/2016,663.638,654.018,665.29099,651.486
BTC,7/18/2016,681.239,665.113,681.599,663.809
BTC,7/19/2016,673.832,681.239,682.19,667.44399
BTC,7/20/2016,673.008,673.832,674.756,667.426
BTC,7/21/2016,662.034,673.008,673.852,659.693
BTC,7/22/2016,666.747,662.034,667.197,662.034
BTC,7/25/2016,660.284,654.895,663.918,652.583
BTC,7/26/2016,655.418,660.284,661.306,653.12799
BTC,7/27/2016,650.82899,655.418,656.72799,644.65
BTC,7/28/2016,656.91599,650.82899,659.51,647.92499
BTC,7/29/2016,655.427,656.91599,658.631,654.16099
BTC,8/1/2016,621.37299,635.588,639.38199,616.048
BTC,8/2/2016,601.227,621.37299,627.068,600.741
BTC,8/3/2016,555.926,601.227,608.707,484.59125
BTC,8/4/2016,578.52374,555.926,583.28,549.404
BTC,8/5/2016,570.33875,578.52374,582.65125,560.745
BTC,8/8/2016,589.66125,588.51625,597.40125,584.45375
BTC,8/9/2016,586.715,589.66125,593.3025,584.82
BTC,8/10/2016,585.23875,586.715,589.6925,583.09124
BTC,8/11/2016,594.81625,585.23875,599.85625,584.30625
BTC,8/12/2016,581.9625,594.81625,597.4775,581.95
BTC,8/15/2016,571.9625,581.65,583.6775,563.79625
BTC,8/16/2016,567.60749,571.9625,574.4025,560.2025
BTC,8/17/2016,575.54125,567.60749,580.51125,565.45375
BTC,8/18/2016,572.37249,575.54125,578.29375,568.47875
BTC,8/19/2016,573.01625,572.37249,576.16375,571.34375
BTC,8/22/2016,579.6675,581.35375,583.9475,579.02125
BTC,8/23/2016,585.5075,579.6675,586.18375,578.4525
BTC,8/24/2016,577.98749,585.5075,586.71875,577.52374
BTC,8/25/2016,574.5825,577.98749,580.37625,573.33124
